Provincias	Sector económico	Periodo	Total
28 Madrid	Agricultura	2020T3	2,5
28 Madrid	Agricultura	2020T2	2,0
28 Madrid	Agricultura	2020T1	2,4
28 Madrid	Agricultura	2019T4	5,6
28 Madrid	Agricultura	2019T3	6,7
28 Madrid	Agricultura	2019T2	5,7
28 Madrid	Agricultura	2019T1	6,4
28 Madrid	Agricultura	2018T4	8,0
28 Madrid	Agricultura	2018T3	7,8
28 Madrid	Agricultura	2018T2	6,4
28 Madrid	Agricultura	2018T1	1,9
28 Madrid	Agricultura	2017T4	1,5
28 Madrid	Agricultura	2017T3	2,2
28 Madrid	Agricultura	2017T2	5,7
28 Madrid	Agricultura	2017T1	4,9
28 Madrid	Industria	2020T3	269,3
28 Madrid	Industria	2020T2	262,9
28 Madrid	Industria	2020T1	265,5
28 Madrid	Industria	2019T4	279,3
28 Madrid	Industria	2019T3	285,5
28 Madrid	Industria	2019T2	266,9
28 Madrid	Industria	2019T1	274,6
28 Madrid	Industria	2018T4	258,5
28 Madrid	Industria	2018T3	267,3
28 Madrid	Industria	2018T2	252,4
28 Madrid	Industria	2018T1	250,3
28 Madrid	Industria	2017T4	262,0
28 Madrid	Industria	2017T3	254,7
28 Madrid	Industria	2017T2	259,3
28 Madrid	Industria	2017T1	251,3
28 Madrid	Construcción	2020T3	182,2
28 Madrid	Construcción	2020T2	180,9
28 Madrid	Construcción	2020T1	206,2
28 Madrid	Construcción	2019T4	196,9
28 Madrid	Construcción	2019T3	189,8
28 Madrid	Construcción	2019T2	196,4
28 Madrid	Construcción	2019T1	204,1
28 Madrid	Construcción	2018T4	189,6
28 Madrid	Construcción	2018T3	180,1
28 Madrid	Construcción	2018T2	172,0
28 Madrid	Construcción	2018T1	161,4
28 Madrid	Construcción	2017T4	154,0
28 Madrid	Construcción	2017T3	151,2
28 Madrid	Construcción	2017T2	151,9
28 Madrid	Construcción	2017T1	134,7
28 Madrid	Servicios	2020T3	2.551,3
28 Madrid	Servicios	2020T2	2.516,8
28 Madrid	Servicios	2020T1	2.672,9
28 Madrid	Servicios	2019T4	2.692,7
28 Madrid	Servicios	2019T3	2.614,2
28 Madrid	Servicios	2019T2	2.624,1
28 Madrid	Servicios	2019T1	2.546,9
28 Madrid	Servicios	2018T4	2.579,5
28 Madrid	Servicios	2018T3	2.536,5
28 Madrid	Servicios	2018T2	2.556,6
28 Madrid	Servicios	2018T1	2.535,3
28 Madrid	Servicios	2017T4	2.509,4
28 Madrid	Servicios	2017T3	2.534,3
28 Madrid	Servicios	2017T2	2.485,3
28 Madrid	Servicios	2017T1	2.465,8
