Comunidades y Ciudades Autónomas;Sexo;Periodo;Total
13 Madrid, Comunidad de;Ambos sexos;2019;84,96
13 Madrid, Comunidad de;Ambos sexos;2018;84,78
13 Madrid, Comunidad de;Ambos sexos;2017;84,53
13 Madrid, Comunidad de;Ambos sexos;2016;84,54
13 Madrid, Comunidad de;Ambos sexos;2015;84,00
13 Madrid, Comunidad de;Ambos sexos;2014;84,22
13 Madrid, Comunidad de;Ambos sexos;2013;84,14
13 Madrid, Comunidad de;Ambos sexos;2012;83,64
13 Madrid, Comunidad de;Ambos sexos;2011;83,63
13 Madrid, Comunidad de;Ambos sexos;2010;83,39
13 Madrid, Comunidad de;Ambos sexos;2009;82,93
