Capitales de provincia;Sexo;Periodo;Total
28079 Madrid;Total;2020;""
28079 Madrid;Total;2019;3.266.126
28079 Madrid;Total;2018;3.223.334
28079 Madrid;Total;2017;3.182.981
28079 Madrid;Total;2016;3.165.541
28079 Madrid;Total;2015;3.141.991
28079 Madrid;Total;2014;3.165.235
28079 Madrid;Total;2013;3.207.247
28079 Madrid;Total;2012;3.233.527
28079 Madrid;Total;2011;3.265.038
28079 Madrid;Total;2010;3.273.049
28079 Madrid;Total;2009;3.255.944
28079 Madrid;Total;2008;3.213.271
28079 Madrid;Total;2007;3.132.463
28079 Madrid;Total;2006;3.128.600
28079 Madrid;Total;2005;3.155.359
28079 Madrid;Total;2004;3.099.834
