"Año";"Periodo";"Parámetro";"Denuncias"
"2018";"Trimestre 2";"Agresión sexual con penetración";"80"
"2018";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"8"
"2018";"Trimestre 2";"Hurtos";"56.035"
"2018";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"4.366"
"2018";"Trimestre 2";"Robos con violencia e intimidación";"4.755"
"2018";"Trimestre 2";"Secuestro";"0"
"2018";"Trimestre 2";"Sustracciones de vehículos";"2.807"
"2018";"Trimestre 2";"Total";"120.191"
"2018";"Trimestre 2";"Tráfico de drogas";"681"
"2019";"Trimestre 2";"Agresión sexual con penetración";"67"
"2019";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"6"
"2019";"Trimestre 2";"Hurtos";"57.940"
"2019";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"4.459"
"2019";"Trimestre 2";"Robos con violencia e intimidación";"5.134"
"2019";"Trimestre 2";"Secuestro";"5"
"2019";"Trimestre 2";"Sustracciones de vehículos";"2.504"
"2019";"Trimestre 2";"Total";"126.955"
"2019";"Trimestre 2";"Tráfico de drogas";"965"
"2020";"Trimestre 2";"Agresión sexual con penetración";"70"
"2020";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"8"
"2020";"Trimestre 2";"Hurtos";"31.961"
"2020";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"279"
"2020";"Trimestre 2";"Robos con violencia e intimidación";"3.429"
"2020";"Trimestre 2";"Secuestro";"1"
"2020";"Trimestre 2";"Sustracciones de vehículos";"1.683"
"2020";"Trimestre 2";"Total";"86.095"
"2020";"Trimestre 2";"Tráfico de drogas";"850"
;;
;;
"Métrica":"Denuncias"
"Fuente":"Ministerio del Interior"
"Clasificación":""
"Unidad":"Número de infracciones penales registradas en lo que va de año"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/estadistica-crimen-municipio/e97d4660-1653-4e5d-8497-8ceac4976cf1/madrid/4245"
"Titulo":"Estadística del crimen en Madrid﻿ "
"Subtitulo":""
