"Año";"Periodo";"Comunidad de Madrid﻿ ";"Tasa de paro en España"
"2002";"Trimestre 1";"0,01";"0,01"
"2002";"Trimestre 2";"0,01";"0,01"
"2002";"Trimestre 3";"0,01";"0,01"
"2002";"Trimestre 4";"0,01";"0,01"
"2003";"Trimestre 1";"0,01";"0,01"
"2003";"Trimestre 2";"0,01";"0,01"
"2003";"Trimestre 3";"0,01";"0,01"
"2003";"Trimestre 4";"0,01";"0,01"
"2004";"Trimestre 1";"0,01";"0,01"
"2004";"Trimestre 2";"0,01";"0,01"
"2004";"Trimestre 3";"0,01";"0,01"
"2004";"Trimestre 4";"0,01";"0,01"
"2005";"Trimestre 1";"0,01";"0,01"
"2005";"Trimestre 2";"0,01";"0,01"
"2005";"Trimestre 3";"0,01";"0,01"
"2005";"Trimestre 4";"0,01";"0,01"
"2006";"Trimestre 1";"0,01";"0,01"
"2006";"Trimestre 2";"0,01";"0,01"
"2006";"Trimestre 3";"0,01";"0,01"
"2006";"Trimestre 4";"0,01";"0,01"
"2007";"Trimestre 1";"0,01";"0,01"
"2007";"Trimestre 2";"0,01";"0,01"
"2007";"Trimestre 3";"0,01";"0,01"
"2007";"Trimestre 4";"0,01";"0,01"
"2008";"Trimestre 1";"0,01";"0,01"
"2008";"Trimestre 2";"0,01";"0,01"
"2008";"Trimestre 3";"0,01";"0,01"
"2008";"Trimestre 4";"0,01";"0,01"
"2009";"Trimestre 1";"0,01";"0,02"
"2009";"Trimestre 2";"0,01";"0,02"
"2009";"Trimestre 3";"0,01";"0,02"
"2009";"Trimestre 4";"0,01";"0,02"
"2010";"Trimestre 1";"0,02";"0,02"
"2010";"Trimestre 2";"0,02";"0,02"
"2010";"Trimestre 3";"0,02";"0,02"
"2010";"Trimestre 4";"0,02";"0,02"
"2011";"Trimestre 1";"0,02";"0,02"
"2011";"Trimestre 2";"0,02";"0,02"
"2011";"Trimestre 3";"0,02";"0,02"
"2011";"Trimestre 4";"0,02";"0,02"
"2012";"Trimestre 1";"0,02";"0,02"
"2012";"Trimestre 2";"0,02";"0,02"
"2012";"Trimestre 3";"0,02";"0,02"
"2012";"Trimestre 4";"0,02";"0,03"
"2013";"Trimestre 1";"0,02";"0,03"
"2013";"Trimestre 2";"0,02";"0,03"
"2013";"Trimestre 3";"0,02";"0,03"
"2013";"Trimestre 4";"0,02";"0,03"
"2014";"Trimestre 1";"0,02";"0,03"
"2014";"Trimestre 2";"0,02";"0,02"
"2014";"Trimestre 3";"0,02";"0,02"
"2014";"Trimestre 4";"0,02";"0,02"
"2015";"Trimestre 1";"0,02";"0,02"
"2015";"Trimestre 2";"0,02";"0,02"
"2015";"Trimestre 3";"0,02";"0,02"
"2015";"Trimestre 4";"0,02";"0,02"
"2016";"Trimestre 1";"0,02";"0,02"
"2016";"Trimestre 2";"0,02";"0,02"
"2016";"Trimestre 3";"0,02";"0,02"
"2016";"Trimestre 4";"0,01";"0,02"
"2017";"Trimestre 1";"0,01";"0,02"
"2017";"Trimestre 2";"0,01";"0,02"
"2017";"Trimestre 3";"0,01";"0,02"
"2017";"Trimestre 4";"0,01";"0,02"
"2018";"Trimestre 1";"0,01";"0,02"
"2018";"Trimestre 2";"0,01";"0,02"
"2018";"Trimestre 3";"0,01";"0,01"
"2018";"Trimestre 4";"0,01";"0,01"
"2019";"Trimestre 1";"0,01";"0,01"
"2019";"Trimestre 2";"0,01";"0,01"
"2019";"Trimestre 3";"0,01";"0,01"
"2019";"Trimestre 4";"0,01";"0,01"
"2020";"Trimestre 1";"0,01";"0,01"
"2020";"Trimestre 2";"0,01";"0,02"
"2020";"Trimestre 3";"0,01";"0,02"
;;;
;;;
"Métrica":"Comunidad de Madrid﻿ "
"Fuente":"INE"
"Clasificación":""
"Unidad":"Número de personas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;
;;;
"Métrica":"Tasa de paro en España"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Número de personas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;
;;;
"Url":"https://www.epdata.es/tasa-paro-comunidad-frente-paro-conjunto-espana/5f41a7bb-a5d9-4965-950e-0d25403b5074/madrid/304"
"Titulo":"Tasa de paro en Comunidad de Madrid frente al conjunto de España"
"Subtitulo":""
