,no_of_rainy_days,Year,Month
216,14,2000,01
217,18,2000,02
218,15,2000,03
219,20,2000,04
220,10,2000,05
221,16,2000,06
222,12,2000,07
223,18,2000,08
224,12,2000,09
225,14,2000,10
226,21,2000,11
227,18,2000,12
228,21,2001,01
229,11,2001,02
230,20,2001,03
231,18,2001,04
232,12,2001,05
233,11,2001,06
234,9,2001,07
235,14,2001,08
236,13,2001,09
237,20,2001,10
238,15,2001,11
239,20,2001,12
240,11,2002,01
241,2,2002,02
242,8,2002,03
243,13,2002,04
244,13,2002,05
245,12,2002,06
246,11,2002,07
247,14,2002,08
248,9,2002,09
249,7,2002,10
250,15,2002,11
251,24,2002,12
252,20,2003,01
253,13,2003,02
254,11,2003,03
255,20,2003,04
256,11,2003,05
257,12,2003,06
258,14,2003,07
259,13,2003,08
260,15,2003,09
261,21,2003,10
262,19,2003,11
263,17,2003,12
264,13,2004,01
265,4,2004,02
266,16,2004,03
267,9,2004,04
268,13,2004,05
269,8,2004,06
270,20,2004,07
271,8,2004,08
272,14,2004,09
273,13,2004,10
274,15,2004,11
275,14,2004,12
276,8,2005,01
277,3,2005,02
278,12,2005,03
279,10,2005,04
280,20,2005,05
281,15,2005,06
282,15,2005,07
283,13,2005,08
284,18,2005,09
285,19,2005,10
286,23,2005,11
287,19,2005,12
288,20,2006,01
289,8,2006,02
290,9,2006,03
291,18,2006,04
292,14,2006,05
293,16,2006,06
294,15,2006,07
295,14,2006,08
296,12,2006,09
297,8,2006,10
298,18,2006,11
299,22,2006,12
300,20,2007,01
301,3,2007,02
302,21,2007,03
303,14,2007,04
304,16,2007,05
305,12,2007,06
306,19,2007,07
307,20,2007,08
308,13,2007,09
309,16,2007,10
310,21,2007,11
311,20,2007,12
312,19,2008,01
313,8,2008,02
314,16,2008,03
315,13,2008,04
316,11,2008,05
317,12,2008,06
318,15,2008,07
319,18,2008,08
320,18,2008,09
321,19,2008,10
322,16,2008,11
323,17,2008,12
324,5,2009,01
325,8,2009,02
326,19,2009,03
327,12,2009,04
328,17,2009,05
329,8,2009,06
330,16,2009,07
331,12,2009,08
332,13,2009,09
333,15,2009,10
334,23,2009,11
335,18,2009,12
336,10,2010,01
337,4,2010,02
338,11,2010,03
339,18,2010,04
340,17,2010,05
341,19,2010,06
342,18,2010,07
343,16,2010,08
344,13,2010,09
345,17,2010,10
346,21,2010,11
347,14,2010,12
348,17,2011,01
349,8,2011,02
350,22,2011,03
351,12,2011,04
352,15,2011,05
353,15,2011,06
354,7,2011,07
355,13,2011,08
356,14,2011,09
357,20,2011,10
358,24,2011,11
359,21,2011,12
360,16,2012,01
361,11,2012,02
362,21,2012,03
363,20,2012,04
364,19,2012,05
365,8,2012,06
366,17,2012,07
367,12,2012,08
368,10,2012,09
369,13,2012,10
370,22,2012,11
371,22,2012,12
372,15,2013,01
373,22,2013,02
374,10,2013,03
375,19,2013,04
376,17,2013,05
377,12,2013,06
378,15,2013,07
379,15,2013,08
380,19,2013,09
381,19,2013,10
382,22,2013,11
383,21,2013,12
384,5,2014,01
385,1,2014,02
386,6,2014,03
387,17,2014,04
388,18,2014,05
389,11,2014,06
390,15,2014,07
391,20,2014,08
392,9,2014,09
393,10,2014,10
394,23,2014,11
395,17,2014,12
396,6,2015,01
397,6,2015,02
398,5,2015,03
399,13,2015,04
400,12,2015,05
401,10,2015,06
402,13,2015,07
403,11,2015,08
404,8,2015,09
405,9,2015,10
406,13,2015,11
407,19,2015,12
408,15,2016,01
409,10,2016,02
410,6,2016,03
411,14,2016,04
412,12,2016,05
413,13,2016,06
414,20,2016,07
415,15,2016,08
416,15,2016,09
417,16,2016,10
418,20,2016,11
419,23,2016,12
420,21,2017,01
421,15,2017,02
422,11,2017,03
423,21,2017,04
424,15,2017,05
425,10,2017,06
426,9,2017,07
427,18,2017,08
428,19,2017,09
429,18,2017,10
430,24,2017,11
431,23,2017,12
432,25,2018,01
433,5,2018,02
434,10,2018,03
435,14,2018,04
436,19,2018,05
437,17,2018,06
438,10,2018,07
439,11,2018,08
440,13,2018,09
441,18,2018,10
442,27,2018,11
443,19,2018,12
444,9,2019,01
445,5,2019,02
446,6,2019,03
447,9,2019,04
448,13,2019,05
449,16,2019,06
450,8,2019,07
451,6,2019,08
452,4,2019,09
453,15,2019,10
454,15,2019,11
455,14,2019,12
456,6,2020,01
457,8,2020,02
458,8,2020,03
459,12,2020,04
460,16,2020,05
461,21,2020,06
462,22,2020,07
463,12,2020,08
464,18,2020,09
465,16,2020,10
