,12
Country Name,Austria
Country Code,AUT
Indicator Name,"Inflation, consumer prices (annual %)"
Indicator Code,FP.CPI.TOTL.ZG
1960,1.94576518355564
1961,3.54225699065465
1962,4.38178085363524
1963,2.7087752849636204
1964,3.86857479524453
1965,4.93090648042644
1966,2.05481780966135
1967,3.9746720008180696
1968,2.76486058908292
1969,3.0803972669121897
1970,4.372834991446711
1971,4.70426464863565
1972,6.3551349869794205
1973,7.53108064952016
1974,9.52179379069359
1975,8.44525278272289
1976,7.31868899509658
1977,5.49460953882342
1978,3.5743253272600097
1979,3.7074033325207996
1980,6.3283208759636995
1981,6.80303861847746
1982,5.436023633574799
1983,3.33917335680399
1984,5.6631874926014
1985,3.18951163361009
1986,1.7054466579086598
1987,1.40195293846737
1988,1.91572092023249
1989,2.56834384689467
1990,3.2618731230682303
1991,3.33742884548212
1992,4.02084559057212
1993,3.63178559452543
1994,2.95340390976125
1995,2.2433666805402903
1996,1.86097376901842
1997,1.30598307237497
1998,0.9224658408479058
1999,0.568990766899814
2000,2.34486455542566
2001,2.64999922285055
2002,1.8103595387131899
2003,1.35555673319826
2004,2.06120354001778
2005,2.29913882222146
2006,1.44154696188379
2007,2.1685559982403704
2008,3.2159502295349105
2009,0.506308350120954
2010,1.81353628033681
2011,3.28658197365512
2012,2.4856735286006804
2013,2.00015891157196
2014,1.60580414549751
2015,0.896565315628228
2016,0.8915923673027321
2017,2.08126858275521
2018,1.9983818770226598
2019,1.53089553422702
2020,
Unnamed: 65,
